==Frequent itemsets (min_sup=1.0%)
[46-55,DE,N_GANG,N_INFRACTION], 7.7899%
[DE,MED,N_INFRACTION,OTHER], 7.7899%
[MAX,Y_GANG,Y_MENTAL_OBSV], 7.7763%
[18-25,DE,N_MENTAL_OBSV], 7.7626%
[DE,MAX,N_GANG,Y_MENTAL_OBSV], 7.749%
[BLACK,MED,N_GANG,N_INFRACTION,Y_MENTAL_OBSV], 7.749%
[125.25,N_GANG], 7.7353%
[MAX,N_INFRACTION], 7.7217%
[DE,N_INFRACTION,OTHER,Y_MENTAL_OBSV], 7.7217%
[26-35,BLACK,N_GANG,Y_MENTAL_OBSV], 7.6944%
[125.25,DE,N_GANG], 7.6671%
[CS], 7.6535%
[110-125.25,DE], 7.6535%
[BLACK,MED,N_GANG,N_MENTAL_OBSV], 7.6535%
[BLACK,MED,N_INFRACTION,N_MENTAL_OBSV], 7.6262%
[BLACK,MAX,Y_GANG,Y_INFRACTION], 7.6126%
[WHITE], 7.5989%
[DE,MED,Y_INFRACTION,Y_MENTAL_OBSV], 7.5989%
[36-45,BLACK,N_GANG,Y_MENTAL_OBSV], 7.5989%
[36-45,DE,N_GANG,N_INFRACTION,Y_MENTAL_OBSV], 7.5716%
[26-35,DE,Y_INFRACTION,Y_MENTAL_OBSV], 7.558%
[26-35,DE,N_INFRACTION,N_MENTAL_OBSV], 7.558%
[N_INFRACTION,Y_GANG], 7.5443%
[26-35,MIN], 7.5443%
[26-35,DE,N_GANG,N_INFRACTION,Y_MENTAL_OBSV], 7.5171%
[46-55,BLACK], 7.5034%
[26-35,MAX,Y_MENTAL_OBSV], 7.5034%
[18-25,DE,N_INFRACTION], 7.4761%
[46-55,Y_MENTAL_OBSV], 7.4352%
[BLACK,DE,N_GANG,Y_INFRACTION,Y_MENTAL_OBSV], 7.4352%
[36-45,N_GANG,OTHER], 7.4079%
[18-25,DE,MED], 7.4079%
[36-45,Y_INFRACTION], 7.3806%
[36-45,BLACK,DE,Y_MENTAL_OBSV], 7.3806%
[DE,MED,N_GANG,N_INFRACTION,OTHER], 7.367%
[SSR], 7.3533%
[36-45,DE,MIN], 7.3533%
[18-25,DE,Y_GANG], 7.3397%
[125.25,BLACK], 7.3261%
[125.25,Y_MENTAL_OBSV], 7.3261%
[BLACK,N_MENTAL_OBSV,Y_GANG], 7.3261%
[26-35,BLACK,N_MENTAL_OBSV], 7.3124%
[26-35,MAX,Y_INFRACTION], 7.3124%
[N_GANG,OTHER,Y_INFRACTION], 7.3124%
[36-45,BLACK,DE,N_INFRACTION], 7.3124%
[36-45,MED,N_GANG,N_INFRACTION], 7.2988%
[26-35,N_INFRACTION,OTHER], 7.2715%
[N_GANG,N_INFRACTION,nan], 7.2715%
[N_GANG,WHITE], 7.2578%
[DE,N_GANG,N_INFRACTION,OTHER,Y_MENTAL_OBSV], 7.2442%
[BLACK,DE,Y_GANG,Y_MENTAL_OBSV], 7.2169%
[125.25,Y_INFRACTION], 7.2033%
[26-35,BLACK,MAX], 7.1896%
[125.25,DE,Y_MENTAL_OBSV], 7.1896%
[BLACK,N_MENTAL_OBSV,Y_INFRACTION], 7.176%
[36-45,DE,N_GANG,N_MENTAL_OBSV], 7.176%
[46-55,N_GANG,Y_MENTAL_OBSV], 7.1623%
[125.25,BLACK,DE], 7.1623%
[BLACK,DE,MED,N_INFRACTION,Y_MENTAL_OBSV], 7.1487%
[46-55,BLACK,N_GANG], 7.1351%
[BLACK,MIN,N_MENTAL_OBSV], 7.1078%
[36-45,DE,MIN,N_GANG], 7.1078%
[DE,MIN,N_INFRACTION,OTHER], 7.1078%
[125.25,DE,Y_INFRACTION], 7.0941%
[26-35,MIN,N_GANG], 7.0941%
[18-25,BLACK,Y_GANG], 7.0668%
[125.25,MED], 7.0532%
[26-35,DE,MED,N_GANG,N_INFRACTION], 7.0532%
[DE,MIN,N_GANG,N_INFRACTION,OTHER], 7.0532%
[DE,N_MENTAL_OBSV,Y_GANG], 7.0396%
[MAX,OTHER], 7.0123%
[18-25,BLACK,Y_INFRACTION], 6.9986%
[BLACK,nan], 6.9304%
[26-35,DE,MED,Y_MENTAL_OBSV], 6.9304%
[MED,N_GANG,Y_INFRACTION,Y_MENTAL_OBSV], 6.9304%
[125.25,DE,MED], 6.9168%
[DE,MAX,N_MENTAL_OBSV], 6.9168%
[BLACK,MAX,N_GANG], 6.9168%
[DE,Y_GANG,Y_INFRACTION,Y_MENTAL_OBSV], 6.8895%
[26-35,MED,N_GANG,Y_MENTAL_OBSV], 6.8895%
[18-25,DE,MAX], 6.8759%
[BLACK,DE,MIN,Y_MENTAL_OBSV], 6.8486%
[BLACK,MIN,N_INFRACTION,Y_MENTAL_OBSV], 6.8349%
[N_MENTAL_OBSV,nan], 6.8213%
[26-35,N_GANG,N_INFRACTION,OTHER], 6.8076%
[BLACK,DE,MED,Y_INFRACTION], 6.794%
[26-35,BLACK,DE,Y_INFRACTION], 6.7531%
[56-65], 6.7394%
[36-45,MED,Y_MENTAL_OBSV], 6.7394%
[26-35,BLACK,DE,N_GANG,Y_MENTAL_OBSV], 6.7258%
[BLACK,DE,MAX,Y_INFRACTION,Y_MENTAL_OBSV], 6.7258%
[56-65,N_GANG], 6.6985%
[18-25,MAX,Y_INFRACTION], 6.6985%
[DE,MAX,N_GANG,Y_INFRACTION], 6.6985%
[CS,N_GANG], 6.6849%
[MED,OTHER,Y_MENTAL_OBSV], 6.6849%
[26-35,DE,N_GANG,Y_INFRACTION], 6.6576%
[MED,Y_GANG], 6.6439%
[26-35,MIN,N_INFRACTION], 6.6166%
[BLACK,Y_GANG,Y_INFRACTION,Y_MENTAL_OBSV], 6.5348%
[BLACK,MIN,N_GANG,N_MENTAL_OBSV], 6.5348%
[46-55,MIN], 6.5211%
[BLACK,DE,MIN,N_GANG,Y_MENTAL_OBSV], 6.5211%
[26-35,BLACK,DE,N_GANG,N_INFRACTION], 6.5211%
[BLACK,MIN,N_GANG,N_INFRACTION,Y_MENTAL_OBSV], 6.5075%
[BLACK,MIN,N_INFRACTION,N_MENTAL_OBSV], 6.4939%
[36-45,BLACK,DE,N_GANG,N_INFRACTION], 6.4939%
[36-45,DE,N_INFRACTION,N_MENTAL_OBSV], 6.4802%
[46-55,MIN,N_GANG], 6.4666%
[36-45,DE,OTHER], 6.4393%
[36-45,DE,MED,N_INFRACTION], 6.412%
[N_GANG,N_MENTAL_OBSV,Y_INFRACTION], 6.3711%
[160.15], 6.3574%
[26-35,BLACK,Y_GANG], 6.3574%
[OTHER,Y_INFRACTION,Y_MENTAL_OBSV], 6.3574%
[18-25,BLACK,Y_MENTAL_OBSV], 6.3574%
[26-35,BLACK,DE,MED], 6.3574%
[MED,N_MENTAL_OBSV,OTHER], 6.3438%
[MAX,Y_GANG,Y_INFRACTION,Y_MENTAL_OBSV], 6.3438%
[DE,MAX,Y_GANG,Y_MENTAL_OBSV], 6.3165%
[26-35,DE,N_GANG,N_INFRACTION,N_MENTAL_OBSV], 6.3165%
[BLACK,DE,MED,N_GANG,N_INFRACTION,Y_MENTAL_OBSV], 6.3165%
[18-25,Y_INFRACTION,Y_MENTAL_OBSV], 6.3029%
[CS,N_INFRACTION], 6.2892%
[36-45,BLACK,MED], 6.2892%
[18-25,N_GANG,N_INFRACTION], 6.2756%
[18-25,Y_GANG,Y_INFRACTION], 6.2756%
[36-45,DE,MIN,N_INFRACTION], 6.2756%
[26-35,DE,Y_GANG], 6.2619%
[DE,MAX,N_INFRACTION], 6.2347%
[26-35,MIN,N_GANG,N_INFRACTION], 6.2347%
